Species
Aechmea cf. organensis Wawra
Aechmea distichantha Lem.
Aechmea gamosepala Wittm.
Aechmea nudicaulis (L.) Griseb.
Aechmea vanhoutteana (Van Houtte) Mez
Alstroemeria inodora Herb.
Aphelandra colorata Wassh.
Aphelandra longiflora (Lindl.) Profice
Besleria longimucronata Hoehne
Billbergia amoena (Lodd.) Lindl.
Callianthe rufinerva (A. St.-Hil.) Donnell
Canistrum perplexum L.B. Sm.
Canna paniculata Ruiz & Pav.
Centropogon cornutus (L.) Druce
Edmundoa lindenii (Regel) Leme
Erythrina speciosa Andrews
Fuchsia regia (Vell.) Munz
Inga sessilis (Vell.) Mart.
Justicia sp.1
Justicia sp.2
Lantana camara L.
Macrocarpaea rubra Malme
Manettia cordifolia Mart.
Mendoncia velloziana Mart.
Mutisia speciosa Aiton ex Hook.
Nematanthus cf. maculatus (Fritsch) Wiehler
Nematanthus fluminensis (Vell.) Fritsch
Nematanthus fritschii Hoehne
Nematanthus gregarius D.L. Denham
Nematanthus sericeus (Hanst.) Chautems
Nidularium innocentii Lem.
Nidularium longiflorum Ule
Nidularium procerum Lindm.
Nidularium rutilans E. Morren
Psittacanthus dichroos (Mart.) Mart.
Psychotria leiocarpa Cham. & Schltdl.
Pyrostegia venusta (Ker Gawl.) Miers
Sinningia cooperi (Paxton) Wiehler
Sinningia elatior (Kunth) Chautems
Sinningia glazioviana (Fritsch) Chautems
Siphocampylus convolvulaceus G. Don
Siphocampylus lauroanus Handro & M. Kuhlm.
Siphocampylus longipedunculatus E. Wimm.
Spirotheca rivieri (Decne.) Ulbr.
Tillandsia dura Baker
Tillandsia geminiflora Brongn.
Tillandsia sp.
Tillandsia stricta Sol. ex Sims
Vriesea carinata Wawra
Vriesea erythrodactylon (E. Morren) E. Morren ex Mez
Vriesea incurvata Gaudich.
Vriesea inflata (Wawra) Wawra
Vriesea simplex (Vell.) Beer
Vriesea sp.
Wittrockia superba Lindm.
